Rank,Model,Stage,Accuracy,Balanced_Accuracy,Precision_Macro,Recall_Macro,F1_Macro,F1_Weighted,ROC_AUC_OVR_Macro
1,Gradient Boosting Classifier,Tuned,0.5380952380952381,0.407136848640975,0.40814966951804665,0.407136848640975,0.40748539436303993,0.536235372053561,0.6231676403300369
2,Random Forest Classifier,Tuned,0.5773809523809523,0.40762568952950257,0.3865342740179427,0.40762568952950257,0.39678388718086904,0.5623241138176955,0.6384328065181469
3,Extra Trees Classifier,Tuned,0.5476190476190477,0.38390458076174944,0.36640451099575194,0.38390458076174944,0.37443488666651126,0.5324859769303436,0.5995571394267978
4,Decision Tree Classifier,Tuned,0.44166666666666665,0.3927591928598871,0.37357151322010046,0.3927591928598871,0.36785900059879584,0.460268785157334,0.5607113879321285
5,Multinomial Logistic Regression,Tuned,0.43214285714285716,0.40168577167303837,0.3874890572225598,0.40168577167303837,0.35838366478931777,0.4601123437405536,0.6255445447197305
