Rank,Model,Stage,MAE,RMSE,MAPE,R2
1,Extra Trees Regressor,Tuned,81.872612150255,504.6068953134515,7.422232220275289,0.2126326687224288
2,Ridge Regression,Tuned,92.98203886554204,507.1517928958739,9.373887582505477,0.2046707400678328
3,Random Forest Regressor,Tuned,104.57539712750797,509.5837396755995,11.631502019288975,0.19702476111655054
4,Decision Tree Regressor,Tuned,98.76725533863986,513.8581350050313,9.805790291996285,0.1834975303458114
5,Gradient Boosting Regressor,Tuned,103.7348600322816,515.778082335561,10.100401828495768,0.17738467448478035
